name,scholarid
Alan Kaminsky,NOSCHOLARPAGE
Alan Kuhnle,-zrlrKgAAAAJ
Alan Kuntz,7uZPiGoAAAAJ
Alan L. Cox,z28ApZkAAAAJ
Alan L. Davis,yY-df4UAAAAJ
Alan L. Yuille,FJ-huxgAAAAJ
Alan Loddon Yuille,FJ-huxgAAAAJ
Alan M. Durham,sX7BGkIAAAAJ
Alan M. Frieze,EqKRQ4YAAAAJ
Alan M. Moses,o5gmOHMAAAAJ
Alan Marshall 0001,RuXsbeYAAAAJ
Alan Miller,EH74mBQAAAAJ
Alan Mislove,oAqKi9MAAAAJ
Alan Mitchell Durham,sX7BGkIAAAAJ
Alan Mycroft,0ycSEz8AAAAJ
Alan Paul Fern,GaKxFrcAAAAJ
Alan Richard Bundy,n7STZEYAAAAJ
Alan Ritter,unXtH3IAAAAJ
Alan S. Willsky,XYy_Nm4AAAAJ
Alan Smaill,NOSCHOLARPAGE
Alan Sprague,NOSCHOLARPAGE
Alan Sussman,4Ts9jNQAAAAJ
Alan T. Sherman,ZzWjYkEAAAAJ
Alan W. Black,Es-YRKMAAAAJ
Alan Wagner,YqBZgfgAAAAJ
Alan Wang,mZOzE7wAAAAJ
Alan Wassyng,Tv4yA0QAAAAJ
Alanson P. Sample,tSyVwBwAAAAJ
Alasdair J. G. Gray,3XRqgLcAAAAJ
Alastair R. Beresford,KJmh8GAAAAAJ
Alba C. M. A. Melo,vM_I8f4AAAAJ
Alba Cristina Magalhaes Alves de Melo,vM_I8f4AAAAJ
Alba de Melo,vM_I8f4AAAAJ
Alban Grastien,87u0x6UAAAAJ
Alban Ponse,v709bGQAAAAJ
Albert Ali Salah,0ee8P-cAAAAJ
Albert Banchs,f17UAkMAAAAJ
Albert Burger,djg93PMAAAAJ
Albert C. S. Chung,MVf7Lq0AAAAJ
Albert Cabellos,G5f_Mp8AAAAJ
Albert Cabellos-Aparicio,G5f_Mp8AAAAJ
Albert Chern,f3o6lHUAAAAJ
Albert Cohen 0001,MkKZKAMAAAAJ
Albert Levi,ls6NkwEAAAAJ
Albert M. K. Cheng,cBzNurgAAAAJ
Albert Mo Kim Cheng,cBzNurgAAAAJ
Albert R. Meyer,yRTPMIUAAAAJ
Albert Y. Zomaya,ak35bjgAAAAJ
Albert-László Barabási,vsj2slIAAAAJ
Alberto Abad,iQTrDUIAAAAJ
Alberto Bacchelli,Jv-sW70AAAAJ
Alberto Barbosa Raposo,bbNfBlwAAAAJ
Alberto Barrón-Cedeño,0q0QVG4AAAAJ
Alberto Cano 0001,8f_w4HQAAAAJ
Alberto Cano Rojas,8f_w4HQAAAAJ
Alberto Del Pia,P29s_F0AAAAJ
Alberto E. Schaeffer Filho,y6oOiqYAAAAJ
Alberto Egon Schaeffer Filho,y6oOiqYAAAAJ
Alberto H. F. Laender,HJhu4csAAAAJ
Alberto L. Sangiovanni-Vincentelli,AhgjQ2QAAAAJ
Alberto Lluch Lafuente,NOSCHOLARPAGE
Alberto Manuel Rodrigues da Silva,NjZqNwEAAAAJ
Alberto Maria Segre,IXnzCb8AAAAJ
Alberto Nannarelli,NOSCHOLARPAGE
Alberto Negro,NOSCHOLARPAGE
Alberto Postiglione,EW1w6DkAAAAJ
Alberto Quattrini Li,06ldpDMAAAAJ
Alberto Raposo,bbNfBlwAAAAJ
Alberto Rodrigues da Silva,NjZqNwEAAAAJ
Alberto Ros,ZfekP88AAAAJ
Albrecht Jander,FWDxXyAAAAAJ
Albrecht Schmidt 0001,qM5jR7YAAAAJ
Alcherio Martinoli,uVTR_eoAAAAJ
Alcione P. Oliveira,i1mML_MAAAAJ
Alcione de Paiva Oliveira,i1mML_MAAAAJ
Aldeida Aleti,BfyTWc8AAAAJ
Aldo A. Faisal,WjHjbrwAAAAJ
Aldo Faisal,WjHjbrwAAAAJ
Alec Jacobson,lSJavJUAAAAJ
Alejandro Hevia,klAKNOcAAAAJ
Alejandro Martínez-Ríos,NOSCHOLARPAGE
Alejandro P. Buchmann,ppMxk_YAAAAJ
Alejandro Russo,8sz4s7YAAAAJ
Aleksandar D. Rakic,H5V1zOoAAAAJ
Aleksandar Ignjatovic,oywWs1sAAAAJ
Aleksandar Ilic,qnL0jnwAAAAJ
Aleksandar Kuzmanovic,Q_zh52YAAAAJ
Aleksandar Nanevski,JGza54YAAAAJ
Aleksandar Nikolov,glV_LWsAAAAJ
Aleksander Madry,SupjsEUAAAAJ
Aleksandra Korolova,oK_XUmsAAAAJ
Aleksy Schubert,0vbRwBQAAAAJ
Ales Horák,lBJuYA8AAAAJ
Alessandra Cavarra,NOSCHOLARPAGE
Alessandra Gorla,6uUwTrwAAAAJ
Alessandra Russo,_6zceo4AAAAJ
Alessandra Scafuro,gM1DWK8AAAAJ
Alessandro Abate,yskbfM4AAAAJ
Alessandro Acquisti,2XCryp4AAAAJ
Alessandro Barenghi,UdTX7n0AAAAJ
Alessandro Biondi,j8JFI7UAAAAJ
Alessandro Bozzon,402ZM7UAAAAJ
Alessandro Bruni,lbZ6n5IAAAAJ
Alessandro Campi,NOSCHOLARPAGE
Alessandro Chiesa,rW1Bio0AAAAJ
Alessandro E. C. Redondi,8ka5NmUAAAAJ
Alessandro Enrico Cesare Redondi,8ka5NmUAAAAJ
Alessandro Enrico Redondi,8ka5NmUAAAAJ
Alessandro F. Garcia,rP1LYboAAAAJ
Alessandro Fabricio Garcia,rP1LYboAAAAJ
Alessandro Garcia,rP1LYboAAAAJ
Alessandro L. Koerich,kaUy9GEAAAAJ
Alessandro Lameiras Koerich,kaUy9GEAAAAJ
Alessandro Margara,evbpVlMAAAAJ
Alessandro Orso,wCfYkMkAAAAJ
Alessandro Redondi,8ka5NmUAAAAJ
Alessandro Roncone,nV-XGVIAAAAJ
Alessandro Salandrino,ZX0I5pcAAAAJ
Alessandro Veneziani,xjvr4yEAAAAJ
Alessandro Vespignani,U3CXAPsAAAAJ
Alessandro Vinciarelli,XOnfkHIAAAAJ
Alessia Saggese,OwHN05YAAAAJ
Alessio Gaspar,8UtfjnIAAAAJ
Alessio Guglielmi,1fq1YrMAAAAJ
Alessio Lomuscio,xdWZkEEAAAAJ
Alessio Micheli,rnaNixYAAAAJ
Alessio R. Lomuscio,xdWZkEEAAAAJ
Alex Aiken,3vKjkoQAAAAJ
Alex Alves Freitas,NOSCHOLARPAGE
Alex Biryukov,tP5rH0wAAAAJ
Alex Brodsky,NOSCHOLARPAGE
Alex C. Snoeren,lBzZU1IAAAAJ
Alex David Groce,ewrrvq8AAAAJ
Alex Delis,NOSCHOLARPAGE
Alex Dimakis,JSFmVQEAAAAJ
Alex Endert,_ZIAy3cAAAAJ
Alex Gerdes,NOSCHOLARPAGE
Alex Groce,ewrrvq8AAAAJ
Alex Huth,JNXWWkIAAAAJ
Alex Jung,mHjdZdwAAAAJ
Alex Kirlik,ZS-2t_AAAAAJ
Alex Lascarides,fVRKVf4AAAAJ
Alex Liu,qRjO51UAAAAJ
Alex Lopez-Lorca,NOSCHOLARPAGE
Alex Mihailidis,FgKrtn0AAAAJ
Alex Nicolau,NOSCHOLARPAGE
Alex Orailoglu,RJhla18AAAAJ
Alex Pang,wYggXHoAAAAJ
Alex Potanin,NUl2HRkAAAAJ
Alex Pothen,_Fah5fwAAAAJ
Alex Rasin,FGs9EMwAAAAJ
Alex Rogers,Wkde_sgAAAAJ
Alex Samorodnitsky,NOSCHOLARPAGE
Alex Sandro Gomes,i9a7THIAAAAJ
Alex T. Pang,wYggXHoAAAAJ
Alex Thomo,szORzAoAAAAJ
Alex Zelikovsky,UzCRNJwAAAAJ
Alexander A. Razborov,NOSCHOLARPAGE
Alexander A. Sherstov,JinbAIQAAAAJ
Alexander Afanasyev,goyNhdoAAAAJ
Alexander Aiken,3vKjkoQAAAAJ
Alexander Binder,5B8CTlEAAAAJ
Alexander Borgida,S5AaMfgAAAAJ
Alexander Brodsky 0001,NOSCHOLARPAGE
Alexander Brodsky 0003,NOSCHOLARPAGE
Alexander C. Russell,EsJmgf4AAAAJ
Alexander Egyed,tN-tEGIAAAAJ
Alexander Endert,_ZIAy3cAAAAJ
Alexander Felfernig,w38eDD4AAAAJ
Alexander Ferworn,NOSCHOLARPAGE
Alexander G. Gray,M3VZmxIAAAAJ
Alexander G. Huth,JNXWWkIAAAAJ
Alexander G. Ororbia II,IAFscrMAAAAJ
Alexander G. Schwing,3B2c31wAAAAJ
Alexander Gerhard Schwing,3B2c31wAAAAJ
Alexander Herzog,jrfFYAIAAAAJ
Alexander Huth,JNXWWkIAAAAJ
Alexander J. Hartemink,HLRZ3oAAAAAJ
Alexander Jung,mHjdZdwAAAAJ
Alexander Kain,gK85itIAAAAJ
Alexander Kemper,dliZB7MAAAAJ
Alexander Konovalov,EH74mBQAAAAJ
Alexander Kotov,83gsCFsAAAAJ
Alexander L. Wijesinha,NOSCHOLARPAGE
Alexander L. Wolf,21FXjJgAAAAJ
Alexander Leitsch,NOSCHOLARPAGE
Alexander Lex,JFNLCUcAAAAJ
Alexander M. Bronstein,lafKN0sAAAAJ
Alexander M. Fraser,4ZIZK08AAAAJ
Alexander M. Rush,LIjnUGgAAAAJ
Alexander May 0001,oD5v0XoAAAAJ
Alexander Medvedev,Zj8zOuUAAAAJ
Alexander Meschtscherjakov,YzdqhHIAAAAJ
Alexander Moshe Rabinovich,NOSCHOLARPAGE
Alexander Nelson,USYVMjwAAAAJ
Alexander O. Brodsky,NOSCHOLARPAGE
Alexander Ororbia,IAFscrMAAAAJ
Alexander Pretschner,pBIEpNcAAAAJ
Alexander Pudmenzky,NOSCHOLARPAGE
Alexander Raake,MoOhyrQAAAAJ
Alexander Rabinovich,NOSCHOLARPAGE
Alexander Rakhlin,fds2VpgAAAAJ
Alexander Rasin,FGs9EMwAAAAJ
Alexander Reinefeld,NOSCHOLARPAGE
Alexander Russell,EsJmgf4AAAAJ
Alexander S. Kotov,83gsCFsAAAAJ
Alexander Schill,TABb2iQAAAAJ
Alexander Schliep,NOSCHOLARPAGE
Alexander Schwarzmann,gQo0AHYAAAAJ
Alexander Serebrenik,Mcn2e18AAAAJ
Alexander T. Ihler,ffdt7gMAAAAJ
Alexander Tropsha,inPIy48AAAAJ
Alexander V. Veidenbaum,NOSCHOLARPAGE
Alexander Voss,1lTK7Y0AAAAJ
Alexander Wolff 0001,7XqwgZoAAAAJ
Alexander Zelikovsky,UzCRNJwAAAAJ
Alexandr Andoni,Evgx6UkAAAAJ
Alexandra Boldyreva,8mHLyRoAAAAJ
Alexandra Dmitrienko,CrDmeeIAAAAJ
Alexandra Fedorova,orMwSjoAAAAJ
Alexandra Jimborean,UVlbY84AAAAJ
Alexandra Kolla,wOb0lqUAAAAJ
Alexandra L. Uitdenbogerd,elwlPD0AAAAJ
Alexandra Meliou,sOzdfjYAAAAJ
Alexandra Silva 0001,Vgu38TgAAAAJ
Alexandre A. B. Lima,CjlmBWMAAAAJ
Alexandre Alahi,UIhXQ64AAAAJ
Alexandre Bergel,5pG4GQ8AAAAJ
Alexandre Bernardino,auFmh9MAAAAJ
Alexandre C. B. Delbem,LYsCAa4AAAAJ
Alexandre Cabral Mota,LiCue78AAAAJ
Alexandre Cláudio Botazzo Delbem,LYsCAa4AAAAJ
Alexandre M. Amory,UgvODPkAAAAJ
Alexandre M. Bayen,a5nY-pYAAAAJ
Alexandre Marcos Lins de Vasconcelos,uTLN0mUAAAAJ
Alexandre Megretski,NOSCHOLARPAGE
Alexandre Mendes,wt2mmpIAAAAJ
Alexandre Miguel Pinto,CnhikhoAAAAJ
Alexandre Mota,LiCue78AAAAJ
Alexandre N. Delbem,LYsCAa4AAAAJ
Alexandre P. Francisco,hJ_H818AAAAJ
